date,day_of_week,time_of_day,clinic,clinic_type,urban_rural,appointment_type,appointments,avg_appointment_duration,clinic_open_hours,appointment_lead_time,walk_ins,emergencies,staff_count,weather,transport_access_score,walk_in_policy,cancellation_rate,cancellations,no_shows,no_show_rate,staff_nurses,staff_doctors,triage_score_avg,power_outage,equipment_downtime,patients_served,avg_wait_time,efficiency_score,staff_per_patient,complaints_received
2025-03-04,Tuesday,Evening,Clinic_3,Emergency,Rural,Routine,111,10.6,8,7,8,0,7,Clear,0.65,Open,0.06,6,12,0.11,2,5,2.4,0,0,101,41.54,10.27,0.07,16
2025-05-17,Saturday,Morning,Clinic_23,Chronic,Rural,Follow-up,113,13.1,9,3,27,4,9,Clear,0.5,Moderate,0.06,6,10,0.09,5,4,2.34,0,0,128,58.3,8.39,0.07,18
2025-03-15,Saturday,Evening,Clinic_10,Emergency,Rural,Urgent,74,13.8,8,1,24,2,3,Rain,0.82,Strict,0.15,11,5,0.07,1,2,2.88,1,0,84,63.88,21.61,0.04,15
2025-05-13,Tuesday,Evening,Clinic_9,General,Urban,Urgent,59,24.6,8,14,8,3,7,Cloudy,0.42,Open,0.1,5,6,0.1,3,4,1.16,0,0,59,18.58,6.57,0.12,5
2025-02-07,Friday,Afternoon,Clinic_13,Pediatric,Urban,Routine,118,28.3,10,28,22,1,8,Storm,0.37,Moderate,0.17,20,8,0.07,7,1,2.72,0,0,113,42.36,9.89,0.07,11
2025-02-08,Saturday,Evening,Clinic_19,Chronic,Rural,Follow-up,80,14.4,8,16,25,3,5,Cloudy,0.27,Strict,0.07,5,12,0.15,2,3,2.34,0,0,91,46.34,13.57,0.05,10
2025-05-12,Monday,Evening,Clinic_15,Emergency,Rural,Urgent,44,27.2,8,21,9,5,5,Clear,0.75,Open,0.16,7,2,0.05,4,1,2.58,0,0,49,24.45,7.36,0.1,7
2025-06-05,Thursday,Evening,Clinic_29,Pediatric,Urban,Urgent,64,28.3,10,9,29,5,8,Rain,0.32,Strict,0.04,2,4,0.06,4,4,2.3,0,0,92,37.19,7.78,0.09,14
2025-03-17,Monday,Afternoon,Clinic_8,General,Urban,Urgent,99,28.9,8,23,29,4,3,Cloudy,0.85,Open,0.13,12,9,0.09,2,1,1.76,0,1,111,78.31,29.17,0.03,18
2025-02-23,Sunday,Afternoon,Clinic_7,Emergency,Urban,Urgent,46,16.2,10,20,9,5,10,Storm,0.55,Open,0.19,8,5,0.11,3,7,1.13,0,1,47,29.16,1.78,0.21,8
